"Id","business_id","name","address","city","state","postal_code","latitude","longitude","phone_number",""
"7771","","Sliders Diner","449 Castro St","San Francisco","94114","CA","37.76173","-122.434795","4154313288","http://www.yelp.com/biz/sliders-diner-san-francisco"
"7772","","Kpop","499 Castro St","San Francisco","94114","CA","37.761033","-122.4349004","4152529500","http://www.yelp.com/biz/kpop-san-francisco"
"7773","","Fork Cafe","469 Castro St","San Francisco","94114","CA","37.7614981","-122.434937","4155536633","http://www.yelp.com/biz/fork-cafe-san-francisco"
"7774","","Subway","2375 Market St","San Francisco","94114","CA","37.7629678","-122.4344026","4158615006","http://www.yelp.com/biz/subway-san-francisco-42"
"7775","","Khun Phoa Thai Cuisine Location 2","2367 Market Street","San Francisco","94114","CA","37.7629967","-122.4342098","4154313463","http://www.yelp.com/biz/khun-phoa-thai-cuisine-location-2-san-francisco"
"7776","","La Tortilla","495 Castro St","San Francisco","94114","CA","37.7611304","-122.4349114","4158613990","http://www.yelp.com/biz/la-tortilla-san-francisco"
"7777","","Brandy Ho's Hunan Food","4068 18th St","San Francisco","94114","CA","37.7610748","-122.4342181","4152528000","http://www.yelp.com/biz/brandy-hos-hunan-food-san-francisco-4"
"7778","","Slider's Diner","449 Castro St","San Francisco","94114","CA","37.7617758","-122.4349111","4154313288","http://www.yelp.com/biz/sliders-diner-san-francisco-3"
"7779","","Subway","2375 Market St","San Francisco","94114","CA","37.7641627","-122.4330202","4158615006","http://www.yelp.com/biz/subway-san-francisco-79"
"7780","","The Dancing Pig","544 Castro St","San Francisco","94114","CA","37.760122599882","-122.43508038578","4155292797","http://www.yelp.com/biz/the-dancing-pig-san-francisco-4"
"7781","","Adobo Roll-O","Dolores at 18th St","San Francisco","94110","CA","37.7614356","-122.426012","","http://www.yelp.com/biz/adobo-roll-o-san-francisco"
"7782","","Dona Tere's Market","2780 21st St","San Francisco","94110","CA","37.7575578","-122.4103211","","http://www.yelp.com/biz/dona-teres-market-san-francisco-2"
"7783","","El Metate","2406 Bryant St","San Francisco","94110","CA","37.7556637","-122.4095818","4156417209","http://www.yelp.com/biz/el-metate-san-francisco"
"7784","","Jay'n Bee Club","2736 20th St","San Francisco","94110","CA","37.7593225","-122.4087933","4158244190","http://www.yelp.com/biz/jayn-bee-club-san-francisco"
"7785","","The American Grilled Cheese Kitchen","2400 Harrison St","San Francisco","94110","CA","37.7589505","-122.4126484","4159265076","http://www.yelp.com/biz/the-american-grilled-cheese-kitchen-san-francisco-3"
"7786","","Universal Caf̩","2814 19th St","San Francisco","94110","CA","37.7605672","-122.4105237","4158214608","http://www.yelp.com/biz/universal-caf%C3%A9-san-francisco-2"
"7787","","Atlas Cafe","3049 20th St","San Francisco","94110","CA","37.7589979","-122.4114914","4156481047","http://www.yelp.com/biz/atlas-cafe-san-francisco"
"7788","","Salumeria","3000 20th St","San Francisco","94110","CA","37.7591541","-122.4108677","4154712998","http://www.yelp.com/biz/salumeria-san-francisco"
"7789","","Asiento","2730 21st St","San Francisco","94110","CA","37.757622","-122.4094179","4158293375","http://www.yelp.com/biz/asiento-san-francisco"
"7790","","flour + water","2401 Harrison St","San Francisco","94110","CA","37.7589468","-122.4124028","4158267000","http://www.yelp.com/biz/flour-water-san-francisco"
